uploaded_at,filename,total_records,duplicate_records,failed_records,status
05-01-2026 13:03,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 13:03,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:03,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 13:03,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 13:03,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:14,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:19,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:19,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 13:19,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:22,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 13:22,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 14:28,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 14:28,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 14:28,Director_vnn.xlsx,2994,16,0,SUCCESS
05-01-2026 14:40,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 14:41,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 14:52,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 15:56,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 15:59,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 16:21,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 16:41,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 16:46,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 16:46,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 16:56,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 16:57,Director_vnn.xlsx,2994,16,0,SUCCESS
05-01-2026 17:00,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 17:28,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 17:33,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 17:33,director_data.xlsx,2994,16,0,SUCCESS
05-01-2026 17:34,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 17:45,Director_vnn.xlsx,2994,16,0,SUCCESS
05-01-2026 17:45,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 17:48,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:02,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:03,Director_vnn.xlsx,2994,16,0,SUCCESS
05-01-2026 18:03,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:05,first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:05,Director_vnn.xlsx,2994,16,0,SUCCESS
05-01-2026 18:08,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:10,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:16,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:23,clean_first_50.xlsx,50,0,0,SUCCESS
05-01-2026 18:23,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 10:30:55,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 10:33:32,clean_first_50.xlsx,50,0,0,SUCCESS
2026-01-06 10:50:30,first_50.xlsx,50,0,0,SUCCESS
2026-01-06 10:51:40,clean_first_50.xlsx,50,0,0,SUCCESS
2026-01-06 10:53:44,clean_first_50.xlsx,50,0,0,SUCCESS
2026-01-06 10:57:38,first_50.xlsx,50,0,0,SUCCESS
2026-01-06 10:58:04,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 10:58:31,Director_vnn.xlsx,2994,16,0,SUCCESS
2026-01-06 11:02:35,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 11:14:21,clean_first_50.xlsx,50,0,0,SUCCESS
2026-01-06 11:14:40,Director_vnn.xlsx,2994,16,0,SUCCESS
2026-01-06 11:19:38,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 11:25:50,Director_vnn.xlsx,2994,16,0,SUCCESS
2026-01-06 11:34:42,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 11:34:47,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 11:40:28,director_data.xlsx,2994,16,0,SUCCESS
2026-01-06 11:44:16,director_data.xlsx,2994,16,0,SUCCESS
